"item","current_path","proposed_path","action","category","risk","requires_owner_approval","requires_tests","notes"
"research_lab","research_lab","research_lab/","KEEP_ROOT_EXCEPTION","current_research_package","HIGH","YES","unit tests; import research_lab check; rg from/import research_lab","Root package import compatibility risk. Recommended keep until dedicated import migration."
"research_scripts","research_scripts","03_RESEARCH_LAB/legacy_root_research/research_scripts","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"results_REHEARSAL","results_REHEARSAL","07_BACKUPS/legacy_archives/results_REHEARSAL","ARCHIVE_TO_07_BACKUPS","legacy_archive","MEDIUM","YES","directory inventory; rg old path refs","Historically significant legacy/archive material; preserve under backups."
"ROCKI_AM","ROCKI_AM","03_RESEARCH_LAB/legacy_strategy_sources/ROCKI_AM","NEEDS_OWNER_DECISION","strategy_sources","HIGH","YES","strategy path audit; import/path checks; no strategy execution","May include production/certified or legacy strategy surfaces. Needs owner classification before move."
"run_canonical.py","run_canonical.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/run_canonical.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"scbi_2020_2025_durability_checkpoints","scbi_2020_2025_durability_checkpoints","03_RESEARCH_LAB/legacy_root_research/scbi_2020_2025_durability_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"scbi_full_campaign_checkpoints","scbi_full_campaign_checkpoints","03_RESEARCH_LAB/legacy_root_research/scbi_full_campaign_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"scbi_global_validation_checkpoints","scbi_global_validation_checkpoints","03_RESEARCH_LAB/legacy_root_research/scbi_global_validation_checkpoints","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"scratch","scratch","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/scratch","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"scripts","scripts","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/scripts","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"shadow_line_lab","shadow_line_lab","03_RESEARCH_LAB/legacy_root_research/shadow_line_lab","MOVE_TO_CANONICAL_FOLDER","research_legacy_or_checkpoints","MEDIUM","YES","rg old path refs; research docs path check; no backtest","Research/checkpoint material should live under research lab after path review."
"STRATEGIES","STRATEGIES","03_RESEARCH_LAB/legacy_strategy_sources/STRATEGIES","NEEDS_OWNER_DECISION","strategy_sources","HIGH","YES","strategy path audit; import/path checks; no strategy execution","May include production/certified or legacy strategy surfaces. Needs owner classification before move."
"STRATEGY_PROMOTION_POLICY.md","STRATEGY_PROMOTION_POLICY.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/STRATEGY_PROMOTION_POLICY.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"SUBIR_ESTE_ZIP_A_CHATGPT.txt","SUBIR_ESTE_ZIP_A_CHATGPT.txt","07_BACKUPS/legacy_zip_workflow/SUBIR_ESTE_ZIP_A_CHATGPT.txt","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"tests_external","tests_external","04_INFRASTRUCTURE_ENGINEERING/legacy_tests/tests_external","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_tests","MEDIUM","YES","test discovery path audit; rg old path refs; no strategy/backtest","External tests may depend on relative paths; move only with discovery/path audit."
"untracked_files.txt","untracked_files.txt","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/untracked_files.txt","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Tracked root inventory artifact; move under governance docs."
"validation_check.py","validation_check.py","04_INFRASTRUCTURE_ENGINEERING/legacy_scripts/validation_check.py","MOVE_TO_CANONICAL_FOLDER","infrastructure_or_legacy_scripts","MEDIUM","YES","rg old path refs; import/path smoke tests; no strategy/backtest","Operational or legacy script; moving requires path/import compatibility review."
"VPS_READINESS","VPS_READINESS","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/VPS_READINESS","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"VSE_BASELINE_REPORT.md","VSE_BASELINE_REPORT.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/VSE_BASELINE_REPORT.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"zip_builder.py","zip_builder.py","07_BACKUPS/legacy_zip_workflow/zip_builder.py","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"ZIP_CONTENTS_MANIFEST.md","ZIP_CONTENTS_MANIFEST.md","07_BACKUPS/legacy_zip_workflow/ZIP_CONTENTS_MANIFEST.md","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
"ZIP_VALIDADO_SUBIR_ESTE.txt","ZIP_VALIDADO_SUBIR_ESTE.txt","07_BACKUPS/legacy_zip_workflow/ZIP_VALIDADO_SUBIR_ESTE.txt","ARCHIVE_TO_07_BACKUPS","legacy_zip_workflow","LOW","YES","rg old path refs; no zip workflow active check","Legacy ZIP workflow material; archive out of active root."
